合约品种,现价,涨/跌停板,买开保证金,卖开保证金,每手保证金,开仓手续费,平昨手续费,平今手续费,每跳毛利/元,开平手续费,每跳净利润,是否是主力合约,
纯碱 (SA205),2998,3238/2758,12%,12%,7195.2元,3.5元,3.5元,0元,20,3.5元,16.5,,0.2293%
棕榈 (p2209),7638,8248/7028,10%,10%,7638元,2.5元,2.5元,0元,20,2.5元,17.5,,0.2291%
纯碱 (SA207),3008,3249/2767,12%,12%,7219.2元,3.5元,3.5元,0元,20,3.5元,16.5,,0.2286%
豆油 (y2205),8514,9194/7834,9%,9%,7662.6元,2.5元,2.5元,0元,20,2.5元,17.5,,0.2284%
纯碱 (SA208),3012,3253/2771,12%,12%,7228.8元,3.5元,3.5元,0元,20,3.5元,16.5,,0.2283%
20号胶 (nr2106),10500,11550/9450,20%,20%,21000元,0.2/万分之,0/万分之,0/万分之,50,2.1元,47.9,,0.2281%
20号胶 (nr2107),10505,11345/9660,20%,20%,21010元,0.2/万分之,0.2/万分之,0/万分之,50,2.1元,47.9,,0.2280%
石油沥青 (bu2106),3050,3354/2744,20%,20%,6100元,1/万分之,1/万分之,1/万分之,20,6.1元,13.9,,0.2279%
纯碱 (SA209),3019,3261/2777,12%,12%,7245.6元,3.5元,3.5元,0元,20,3.5元,16.5,,0.2277%
纯碱 (SA206),3026,3269/2783,12%,12%,7262.4元,3.5元,3.5元,0元,20,3.5元,16.5,,0.2272%
不锈钢 (ss2206),18585,20255/16910,11%,11%,10221.75元,2元,2元,0元,25,2元,23,,0.2250%
不锈钢 (ss2208),18615,20290/16935,11%,11%,10238.25元,2元,2元,0元,25,2元,23,,0.2246%
不锈钢 (ss2207),18625,20300/16945,11%,11%,10243.75元,2元,2元,0元,25,2元,23,,0.2245%
不锈钢 (ss2209),18650,20325/16970,11%,11%,10257.5元,2元,2元,0元,25,2元,23,,0.2242%
黄大豆2号 (b2206),3982,4300/3664,9%,9%,3583.8元,1元,1元,1元,10,2元,8,,0.2232%
不锈钢 (ss2205),18760,20445/17070,11%,11%,10318元,2元,2元,0元,25,2元,23,,0.2229%
棕榈 (p2112),8896,9606/8186,10%,10%,8896元,0.2元,0.2元,0元,20,0.2元,19.8,,0.2226%
不锈钢 (ss2204),18805,20495/17110,11%,11%,10342.75元,2元,2元,0元,25,2元,23,,0.2224%
棕榈 (p2205),7870,8498/7242,10%,10%,7870元,2.5元,2.5元,0元,20,2.5元,17.5,,0.2224%
聚氯乙烯 (v2109),10345,11065/9625,20%,20%,10345元,1元,1元,1元,25,2元,23,,0.2223%
黄大豆2号 (b2207),4009,4329/3689,9%,9%,3608.1元,1元,1元,1元,10,2元,8,,0.2217%
黄大豆2号 (b2209),4024,4345/3703,9%,9%,3621.6元,1元,1元,1元,10,2元,8,,0.2209%
黄大豆2号 (b2205),4026,4348/3704,9%,9%,3623.4元,1元,1元,1元,10,2元,8,,0.2208%
黄大豆2号 (b2204),4036,4358/3714,9%,9%,3632.4元,1元,1元,1元,10,2元,8,,0.2202%
不锈钢 (ss2203),19025,20735/17310,11%,11%,10463.75元,2元,2元,0元,25,2元,23,,0.2198%
黄大豆2号 (b2208),4051,4375/3727,9%,9%,3645.9元,1元,1元,1元,10,2元,8,,0.2194%
石油沥青 (bu2108),3138,3388/2886,20%,20%,6276元,1/万分之,1/万分之,1/万分之,20,6.3元,13.7,,0.2183%
20号胶 (nr2108),10950,11825/10070,20%,20%,21900元,0.2/万分之,0.2/万分之,0/万分之,50,2.2元,47.8,,0.2183%
不锈钢 (ss2202),19180,20905/17450,11%,11%,10549元,2元,2元,0元,25,2元,23,,0.2180%
20号胶 (nr2109),11005,11885/10120,20%,20%,22010元,0.2/万分之,0.2/万分之,0/万分之,50,2.2元,47.8,,0.2172%
白糖 (SR111),5626,5964/5288,7%,7%,3938.2元,1.5元,1.5元,0元,10,1.5元,8.5,,0.2158%
棕榈 (p2111),9176,9910/8442,10%,10%,9176元,0.2元,0.2元,0元,20,0.2元,19.8,,0.2158%
棕榈 (p2110),9200,9936/8464,10%,10%,9200元,0.2元,0.2元,0元,20,0.2元,19.8,,0.2152%
玻璃 (FG207),2077,2223/1931,9%,9%,3738.6元,6元,6元,6元,20,12元,8,,0.2140%
豆油 (y2201),9094,9820/8368,9%,9%,8184.6元,2.5元,2.5元,0元,20,2.5元,17.5,主力合约,0.2138%
玻璃 (FG209),2083,2229/1937,9%,9%,3749.4元,6元,6元,6元,20,12元,8,,0.2134%
黄大豆2号 (b2203),4167,4500/3834,9%,9%,3750.3元,1元,1元,1元,10,2元,8,,0.2133%
玻璃 (FG208),2084,2230/1938,9%,9%,3751.2元,6元,6元,6元,20,12元,8,,0.2133%
玻璃 (FG206),2097,2244/1950,9%,9%,3774.6元,6元,6元,6元,20,12元,8,,0.2119%
黄大豆2号 (b2202),4268,4609/3927,9%,9%,3841.2元,1元,1元,1元,10,2元,8,,0.2083%
纯碱 (SA106),1990,2130/1850,20%,20%,7960元,3.5元,3.5元,0元,20,3.5元,16.5,,0.2073%
棕榈 (p2201),8524,9204/7844,10%,10%,8524元,2.5元,2.5元,0元,20,2.5元,17.5,主力合约,0.2053%
纯碱 (SA107),2016,2158/1874,20%,20%,8064元,3.5元,3.5元,0元,20,3.5元,16.5,,0.2046%
黄大豆2号 (b2201),4392,4743/4041,9%,9%,3952.8元,1元,1元,1元,10,2元,8,,0.2024%
石油沥青 (bu2107),3322,3586/3056,20%,20%,6644元,1/万分之,1/万分之,1/万分之,20,6.6元,13.4,,0.2017%
沪锌 (zn2205),22300,24080/20515,10%,10%,11150元,3元,3元,0元,25,3元,22,,0.1973%
郑醇 (MA110),3042,3255/2829,10%,10%,3042元,2元,2元,2元,10,4元,6,,0.1972%
不锈钢 (ss2201),19495,21440/17545,12%,12%,11697元,2元,2元,0元,25,2元,23,,0.1966%
沪锌 (zn2209),22390,24180/20595,10%,10%,11195元,3元,3元,0元,25,3元,22,,0.1965%
沪锌 (zn2207),22465,24260/20665,10%,10%,11232.5元,3元,3元,0元,25,3元,22,,0.1959%
沪锌 (zn2208),22465,24260/20665,10%,10%,11232.5元,3元,3元,0元,25,3元,22,,0.1959%
沪锌 (zn2204),22480,24275/20680,10%,10%,11240元,3元,3元,0元,25,3元,22,,0.1957%
沪锌 (zn2202),22500,24300/20700,10%,10%,11250元,3元,3元,0元,25,3元,22,,0.1956%
黄大豆2号 (b2112),4547,4910/4184,9%,9%,4092.3元,1元,1元,1元,10,2元,8,,0.1955%
沪锌 (zn2201),22560,24360/20755,10%,10%,11280元,3元,3元,0元,25,3元,22,,0.1950%
沪锌 (zn2203),22570,24375/20760,10%,10%,11285元,3元,3元,0元,25,3元,22,,0.1949%
沪锌 (zn2112),22600,24405/20790,10%,10%,11300元,3元,3元,0元,25,3元,22,,0.1947%
沪锌 (zn2206),22605,24410/20795,10%,10%,11302.5元,3元,3元,0元,25,3元,22,,0.1946%
沪锌 (zn2110),22610,24415/20800,10%,10%,11305元,3元,3元,0元,25,3元,22,主力合约,0.1946%
沪锌 (zn2111),22620,24425/20810,10%,10%,11310元,3元,3元,0元,25,3元,22,,0.1945%
黄大豆2号 (b2110),4596,4963/4229,9%,9%,4136.4元,1元,1元,1元,10,2元,8,,0.1934%
不锈钢 (ss2112),19830,21810/17845,12%,12%,11898元,2元,2元,0元,25,2元,23,,0.1933%
黄大豆2号 (b2111),4661,5033/4289,9%,9%,4194.9元,1元,1元,1元,10,2元,8,主力合约,0.1907%
不锈钢 (ss2111),20150,22165/18135,12%,12%,12090元,2元,2元,0元,25,2元,23,,0.1902%
尿素 (UR110),2650,2809/2491,10%,10%,5300元,5元,5元,5元,20,10元,10,,0.1887%
天然橡胶 (ru2109),12650,13660/11635,20%,20%,25300元,3元,3元,0元,50,3元,47,,0.1858%
PTA (TA106),4584,4814/4354,20%,20%,4584元,1.5元,1.5元,0元,10,1.5元,8.5,,0.1854%
天然橡胶 (ru2106),12700,13970/11430,20%,20%,25400元,3元,3元,0元,50,3元,47,,0.1850%
原油 (sc2406),433,467.6/398.3,10%,10%,43300元,20元,20元,0元,100,20元,80,,0.1848%
原油 (sc2403),434.9,469.6/400.1,10%,10%,43490元,20元,20元,0元,100,20元,80,,0.1840%
原油 (sc2309),437.2,472.1/402.2,10%,10%,43720元,20元,20元,0元,100,20元,80,,0.1830%
原油 (sc2209),440.9,476.1/405.6,10%,10%,44090元,20元,20元,0元,100,20元,80,,0.1814%
天然橡胶 (ru2107),13000,14040/11960,20%,20%,26000元,3元,3元,0元,50,3元,47,,0.1808%
原油 (sc2306),445,480.6/409.4,10%,10%,44500元,20元,20元,0元,100,20元,80,,0.1798%
原油 (sc2207),448.5,484.3/412.6,10%,10%,44850元,20元,20元,0元,100,20元,80,,0.1784%
原油 (sc2312),449.9,485.8/413.9,10%,10%,44990元,20元,20元,0元,100,20元,80,,0.1778%
原油 (sc2303),450,486/414,10%,10%,45000元,20元,20元,0元,100,20元,80,,0.1778%
尿素 (UR205),2557,2788/2326,11%,11%,5625.4元,5元,5元,5元,20,10元,10,,0.1778%
原油 (sc2206),450.5,486.5/414.4,10%,10%,45050元,20元,20元,0元,100,20元,80,,0.1776%
原油 (sc2212),450.6,486.6/414.5,10%,10%,45060元,20元,20元,0元,100,20元,80,,0.1775%
原油 (sc2205),452.6,488.8/416.3,10%,10%,45260元,20元,20元,0元,100,20元,80,,0.1768%
黄玉米 (c2107),2785,2979/2591,20%,20%,5570元,0.2元,0.2元,0元,10,0.2元,9.8,,0.1759%
天然橡胶 (ru2108),13405,14475/12330,20%,20%,26810元,3元,3元,0元,50,3元,47,,0.1753%
原油 (sc2204),458.3,494.9/421.6,10%,10%,45830元,20元,20元,0元,100,20元,80,,0.1746%
原油 (sc2203),459.6,496.3/422.8,10%,10%,45960元,20元,20元,0元,100,20元,80,,0.1741%
尿素 (UR203),2621,2857/2385,11%,11%,5766.2元,5元,5元,5元,20,10元,10,,0.1734%
原油 (sc2202),463,500/425.9,10%,10%,46300元,20元,20元,0元,100,20元,80,,0.1728%
纤维板 (fb2202),1332.5,1399/1266,10%,10%,1332.5元,1/万分之,1/万分之,1/万分之,5,2.7元,2.3,,0.1726%
纤维板 (fb2111),1333,1399.5/1266.5,10%,10%,1333元,1/万分之,1/万分之,1/万分之,5,2.7元,2.3,,0.1725%
黄玉米 (c2109),2555,2733/2377,20%,20%,5110元,1.2元,1.2元,0元,10,1.2元,8.8,,0.1722%
锰硅 (SM202),9894,10686/9102,10%,10%,4947元,1.5元,1.5元,0元,10,1.5元,8.5,,0.1718%
原油 (sc2201),466.8,504.1/429.4,10%,10%,46680元,20元,20元,0元,100,20元,80,,0.1714%
纤维板 (fb2110),1344.5,1411.5/1277.5,10%,10%,1344.5元,1/万分之,1/万分之,1/万分之,5,2.7元,2.3,主力合约,0.1711%
尿素 (UR201),2660,2900/2420,11%,11%,5852元,5元,5元,5元,20,10元,10,主力合约,0.1709%
白糖 (SR201),5868,6221/5515,7%,7%,4107.6元,3元,3元,0元,10,3元,7,主力合约,0.1704%
纯碱 (SA108),2422,2592/2252,20%,20%,9688元,3.5元,3.5元,0元,20,3.5元,16.5,,0.1703%
原油 (sc2112),472.3,510/434.5,10%,10%,47230元,20元,20元,0元,100,20元,80,,0.1694%
白糖 (SR203),5907,6262/5552,7%,7%,4134.9元,3元,3元,0元,10,3元,7,,0.1693%
纤维板 (fb2203),1360,1428/1292,10%,10%,1360元,1/万分之,1/万分之,1/万分之,5,2.7元,2.3,,0.1691%
燃料油 (fu2108),2573,2778/2367,20%,20%,5146元,0.5/万分之,0.5/万分之,0/万分之,10,1.3元,8.7,,0.1691%
白糖 (SR205),5930,6286/5574,7%,7%,4151元,3元,3元,0元,10,3元,7,,0.1686%
棉纱 (CY110),24935,26435/23435,10%,10%,12467.5元,4元,4元,0元,25,4元,21,,0.1684%
纤维板 (fb2112),1365.5,1433.5/1297.5,10%,10%,1365.5元,1/万分之,1/万分之,1/万分之,5,2.7元,2.3,,0.1684%
纤维板 (fb2201),1370.5,1439/1302,10%,10%,1370.5元,1/万分之,1/万分之,1/万分之,5,2.7元,2.3,,0.1678%
白糖 (SR207),5963,6321/5605,7%,7%,4174.1元,3元,3元,0元,10,3元,7,,0.1677%
原油 (sc2111),478.4,516.6/440.1,10%,10%,47840元,20元,20元,0元,100,20元,80,主力合约,0.1672%
玉米淀粉 (cs2107),2934,3110/2758,20%,20%,5868元,0.2元,0.2元,0元,10,0.2元,9.8,,0.1670%
锰硅 (SM111),10180,10996/9364,10%,10%,5090元,1.5元,1.5元,0元,10,1.5元,8.5,,0.1670%
白糖 (SR209),5989,6349/5629,7%,7%,4192.3元,3元,3元,0元,10,3元,7,,0.1670%
锰硅 (SM110),10182,10998/9366,10%,10%,5091元,1.5元,1.5元,0元,10,1.5元,8.5,,0.1670%
锰硅 (SM112),10214,11032/9396,10%,10%,5107元,1.5元,1.5元,0元,10,1.5元,8.5,,0.1664%
PTA (TA107),5128,5386/4870,20%,20%,5128元,1.5元,1.5元,0元,10,1.5元,8.5,,0.1658%
燃料油 (fu2107),2684,2898/2469,20%,20%,5368元,0.5/万分之,0/万分之,0/万分之,10,1.3元,8.7,,0.1621%
锰硅 (SM208),8692,9388/7996,10%,10%,4346元,3元,3元,0元,10,3元,7,,0.1611%
PTA (TA108),5312,5578/5046,20%,20%,5312元,1.5元,1.5元,0元,10,1.5元,8.5,,0.1600%
普通小麦 (PM107),2510,2636/2384,20%,20%,25100元,5元,5元,5元,50,10元,40,,0.1594%
10年国债 (T2106),98.4799,100.4449/96.515,3%,3%,29543.97元,3.03元,3.03元,0元,50,3元,47,,0.1591%
普通小麦 (PM109),2518,2644/2392,20%,20%,25180元,5元,5元,5元,50,10元,40,,0.1589%
纤维板 (fb2204),1389,1458/1320,10%,10%,1389元,1/万分之,1/万分之,1/万分之,5,2.8元,2.2,,0.1584%
纤维板 (fb2205),1391.5,1461/1322,10%,10%,1391.5元,1/万分之,1/万分之,1/万分之,5,2.8元,2.2,,0.1581%
10年国债 (T2109),100.135,102.135/98.135,3%,3%,30040.5元,3.03元,3.03元,0元,50,3元,47,,0.1565%
锰硅 (SM209),9036,9760/8312,10%,10%,4518元,3元,3元,0元,10,3元,7,,0.1549%
锰硅 (SM207),9096,9824/8368,10%,10%,4548元,3元,3元,0元,10,3元,7,,0.1539%
菜籽粕 (RM107),2934,3111/2757,20%,20%,5868元,1元,1元,0元,10,1元,9,,0.1534%
锰硅 (SM206),9170,9904/8436,10%,10%,4585元,3元,3元,0元,10,3元,7,,0.1527%
菜籽粕 (RM108),2965,3143/2787,20%,20%,5930元,1元,1元,0元,10,1元,9,,0.1518%
粳稻 (JR107),2310,2426/2194,20%,20%,9240元,3元,3元,3元,20,6元,14,,0.1515%
硅铁 (SF202),11264,12166/10362,10%,10%,5632元,1.5元,1.5元,0元,10,1.5元,8.5,,0.1509%
锰硅 (SM205),9290,10034/8546,10%,10%,4645元,3元,3元,0元,10,3元,7,,0.1507%
国际铜 (bc2110),62400,67390/57400,10%,10%,31200元,0.1/万分之,0.1/万分之,0/万分之,50,3.1元,46.9,,0.1503%
国际铜 (bc2111),62490,67480/57490,10%,10%,31245元,0.1/万分之,0.1/万分之,0/万分之,50,3.1元,46.9,主力合约,0.1501%
国际铜 (bc2112),62530,67530/57520,10%,10%,31265元,0.1/万分之,0.1/万分之,0/万分之,50,3.1元,46.9,,0.1500%
锰硅 (SM204),9342,10090/8594,10%,10%,4671元,3元,3元,0元,10,3元,7,,0.1499%
国际铜 (bc2202),62600,67600/57590,10%,10%,31300元,0.1/万分之,0.1/万分之,0/万分之,50,3.1元,46.9,,0.1498%
国际铜 (bc2208),62630,67640/57610,10%,10%,31315元,0.1/万分之,0.1/万分之,0/万分之,50,3.1元,46.9,,0.1498%
国际铜 (bc2201),62720,67730/57700,10%,10%,31360元,0.1/万分之,0.1/万分之,0/万分之,50,3.1元,46.9,,0.1496%
国际铜 (bc2203),62810,67830/57780,10%,10%,31405元,0.1/万分之,0.1/万分之,0/万分之,50,3.1元,46.9,,0.1493%
白银 (ag2204),5051,5556/4545,12%,12%,9091.8元,0.1/万分之,0.1/万分之,0.1/万分之,15,1.5元,13.5,,0.1485%
沪铅 (pb2109),14835,16020/13645,20%,20%,14835元,0.4/万分之,0.4/万分之,0/万分之,25,3元,22,,0.1483%
PTA (TA109),4722,5006/4438,20%,20%,4722元,3元,3元,0元,10,3元,7,,0.1482%
白银 (ag2201),5064,5570/4557,12%,12%,9115.2元,0.1/万分之,0.1/万分之,0.1/万分之,15,1.5元,13.5,,0.1481%
白银 (ag2205),5069,5575/4562,12%,12%,9124.2元,0.1/万分之,0.1/万分之,0.1/万分之,15,1.5元,13.5,,0.1480%
白银 (ag2202),5075,5582/4567,12%,12%,9135元,0.1/万分之,0.1/万分之,0.1/万分之,15,1.5元,13.5,,0.1478%
白银 (ag2203),5083,5591/4574,12%,12%,9149.4元,0.1/万分之,0.1/万分之,0.1/万分之,15,1.5元,13.5,,0.1476%
低硫燃料油 (lu2109),3201,3457/2944,20%,20%,6402元,0.1/万分之,0.1/万分之,0.1/万分之,10,0.6元,9.4,,0.1468%
白银 (ag2208),5117,5628/4605,12%,12%,9210.6元,0.1/万分之,0.1/万分之,0.1/万分之,15,1.5元,13.5,,0.1466%
白银 (ag2207),5137,5650/4623,12%,12%,9246.6元,0.1/万分之,0.1/万分之,0.1/万分之,15,1.5元,13.5,,0.1460%
锰硅 (SM203),9680,10456/8904,10%,10%,4840元,3元,3元,0元,10,3元,7,,0.1446%
沪铝 (al2207),21980,24175/19780,12%,12%,13188元,3元,3元,3元,25,6元,19,,0.1441%
沪铝 (al2209),22055,24260/19845,12%,12%,13233元,3元,3元,3元,25,6元,19,,0.1436%
沪铝 (al2206),22060,24265/19850,12%,12%,13236元,3元,3元,3元,25,6元,19,,0.1435%
粳米 (rr2108),3417,3622/3212,20%,20%,6834元,0.2元,0.2元,0元,10,0.2元,9.8,,0.1434%
沪铝 (al2205),22105,24315/19890,12%,12%,13263元,3元,3元,3元,25,6元,19,,0.1433%
硅铁 (SF209),9788,10572/9004,10%,10%,4894元,3元,3元,0元,10,3元,7,,0.1430%
沪铅 (pb2106),15355,16735/13970,20%,20%,15355元,0.4/万分之,0/万分之,0/万分之,25,3.1元,21.9,,0.1426%
沪铅 (pb2108),15355,16580/14125,20%,20%,15355元,0.4/万分之,0.4/万分之,0/万分之,25,3.1元,21.9,,0.1426%
沪铝 (al2204),22230,24450/20005,12%,12%,13338元,3元,3元,3元,25,6元,19,,0.1425%
沪铝 (al2208),22250,24475/20025,12%,12%,13350元,3元,3元,3元,25,6元,19,,0.1423%
不锈钢 (ss2106),16170,17460/14875,20%,20%,16170元,2元,2元,0元,25,2元,23,,0.1422%
沪铝 (al2202),22275,24500/20045,12%,12%,13365元,3元,3元,3元,25,6元,19,,0.1422%
硅铁 (SF110),11972,12930/11014,10%,10%,5986元,1.5元,1.5元,0元,10,1.5元,8.5,,0.1420%
沪铝 (al2203),22325,24555/20090,12%,12%,13395元,3元,3元,3元,25,6元,19,,0.1418%
短纤 (PF111),7054,7548/6560,8%,8%,2821.6元,3元,3元,3元,10,6元,4,,0.1418%
硅铁 (SF208),9886,10678/9094,10%,10%,4943元,3元,3元,0元,10,3元,7,,0.1416%
短纤 (PF112),7078,7574/6582,8%,8%,2831.2元,3元,3元,3元,10,6元,4,,0.1413%
沪铅 (pb2107),15520,16760/14275,20%,20%,15520元,0.4/万分之,0.4/万分之,0/万分之,25,3.1元,21.9,,0.1411%
玉米淀粉 (cs2109),3013,3193/2833,20%,20%,6026元,1.5元,1.5元,0元,10,1.5元,8.5,,0.1411%
沪铝 (al2201),22460,24705/20210,12%,12%,13476元,3元,3元,3元,25,6元,19,,0.1410%
短纤 (PF201),7100,7598/6602,8%,8%,2840元,3元,3元,3元,10,6元,4,主力合约,0.1408%
粳稻 (JR109),2487,2612/2362,20%,20%,9948元,3元,3元,3元,20,6元,14,,0.1407%
棉花 (CF107),16390,17375/15405,20%,20%,16390元,2元,2元,0元,25,2元,23,,0.1403%
沪铝 (al2112),22605,24865/20340,12%,12%,13563元,3元,3元,3元,25,6元,19,,0.1401%
短纤 (PF207),7142,7642/6642,8%,8%,2856.8元,3元,3元,3元,10,6元,4,,0.1400%
粳米 (rr2107),3500,3710/3290,20%,20%,7000元,0.2元,0.2元,0元,10,0.2元,9.8,,0.1400%
短纤 (PF204),7146,7648/6644,8%,8%,2858.4元,3元,3元,3元,10,6元,4,,0.1399%
沪铝 (al2111),22650,24915/20385,12%,12%,13590元,3元,3元,3元,25,6元,19,,0.1398%
沪铝 (al2110),22670,24935/20400,12%,12%,13602元,3元,3元,3元,25,6元,19,主力合约,0.1397%
短纤 (PF202),7174,7678/6670,8%,8%,2869.6元,3元,3元,3元,10,6元,4,,0.1394%
短纤 (PF208),7174,7678/6670,8%,8%,2869.6元,3元,3元,3元,10,6元,4,,0.1394%
菜籽粕 (RM109),3052,3236/2868,20%,20%,6104元,1.5元,1.5元,0元,10,1.5元,8.5,,0.1393%
短纤 (PF203),7186,7690/6682,8%,8%,2874.4元,3元,3元,3元,10,6元,4,,0.1392%
短纤 (PF206),7190,7694/6686,8%,8%,2876元,3元,3元,3元,10,6元,4,,0.1391%
硅铁 (SF206),10074,10880/9268,10%,10%,5037元,3元,3元,0元,10,3元,7,,0.1390%
硅铁 (SF207),10074,10880/9268,10%,10%,5037元,3元,3元,0元,10,3元,7,,0.1390%
短纤 (PF205),7198,7702/6694,8%,8%,2879.2元,3元,3元,3元,10,6元,4,,0.1389%
锰硅 (SM201),10188,11004/9372,10%,10%,5094元,3元,3元,0元,10,3元,7,主力合约,0.1374%
豆粕 (m2107),3568,3817/3319,20%,20%,7136元,0.2元,0.2元,0元,10,0.2元,9.8,,0.1373%
纸浆 (sp2106),6196,6690/5700,20%,20%,12392元,0.5/万分之,0/万分之,0/万分之,20,3.1元,16.9,,0.1364%
粳米 (rr2106),3610,3826/3394,20%,20%,7220元,0.2元,0.2元,0元,10,0.2元,9.8,,0.1357%
低硫燃料油 (lu2107),3430,3704/3155,20%,20%,6860元,0.1/万分之,0.1/万分之,0.1/万分之,10,0.7元,9.3,,0.1356%
硅铁 (SF112),12554,13560/11548,10%,10%,6277元,1.5元,1.5元,0元,10,1.5元,8.5,,0.1354%
硅铁 (SF205),10350,11178/9522,10%,10%,5175元,3元,3元,0元,10,3元,7,,0.1353%
豆粕 (m2108),3625,3878/3372,20%,20%,7250元,0.2元,0.2元,0元,10,0.2元,9.8,,0.1352%
燃料油 (fu2109),2706,2922/2489,20%,20%,5412元,0.5/万分之,0.5/万分之,0.5/万分之,10,2.7元,7.3,,0.1349%
低硫燃料油 (lu2108),3450,3726/3174,20%,20%,6900元,0.1/万分之,0.1/万分之,0.1/万分之,10,0.7元,9.3,,0.1348%
硅铁 (SF111),12636,13648/11624,10%,10%,6318元,1.5元,1.5元,0元,10,1.5元,8.5,,0.1345%
焦煤 (jm2106),1804,1948/1660,20%,20%,21648元,0.06/万分之,0.06/万分之,0.06/万分之,30,1.3元,28.7,,0.1326%
低硫燃料油 (lu2110),3511,3791/3230,20%,20%,7022元,0.1/万分之,0.1/万分之,0.1/万分之,10,0.7元,9.3,,0.1324%
粳米 (rr2109),3400,3604/3196,20%,20%,6800元,1元,1元,0元,10,1元,9,,0.1324%
硅铁 (SF204),10682,11538/9826,10%,10%,5341元,3元,3元,0元,10,3元,7,,0.1311%
燃料油 (fu2110),3213,3470/2955,20%,20%,6426元,0.5/万分之,0.5/万分之,0/万分之,10,1.6元,8.4,,0.1307%
不锈钢 (ss2107),17700,18935/16460,20%,20%,17700元,2元,2元,0元,25,2元,23,,0.1299%
纸浆 (sp2108),6466,6918/6012,20%,20%,12932元,0.5/万分之,0.5/万分之,0/万分之,20,3.2元,16.8,,0.1299%
纸浆 (sp2107),6490,6944/6034,20%,20%,12980元,0.5/万分之,0.5/万分之,0/万分之,20,3.2元,16.8,,0.1294%
纸浆 (sp2109),6520,6976/6062,20%,20%,13040元,0.5/万分之,0.5/万分之,0/万分之,20,3.3元,16.7,,0.1281%
硅铁 (SF203),11010,11892/10128,10%,10%,5505元,3元,3元,0元,10,3元,7,,0.1272%
玻璃 (FG205),2108,2256/1960,15%,15%,6324元,6元,6元,6元,20,12元,8,,0.1265%
铁矿石 (i2108),1106,1216.5/995.5,20%,20%,22120元,1/万分之,1/万分之,1/万分之,50,22.1元,27.9,,0.1261%
玻璃 (FG204),2145,2296/1994,15%,15%,6435元,6元,6元,6元,20,12元,8,,0.1243%
棕榈 (p2107),7998,8636/7360,20%,20%,15996元,0.2元,0.2元,0元,20,0.2元,19.8,,0.1238%
玻璃 (FG203),2195,2349/2041,15%,15%,6585元,6元,6元,6元,20,12元,8,,0.1215%
乙二醇 (eg2206),5343,5770/4916,11%,11%,5877.3元,3元,3元,0元,10,3元,7,,0.1191%
乙二醇 (eg2208),5351,5779/4923,11%,11%,5886.1元,3元,3元,0元,10,3元,7,,0.1189%
线材 (wr2207),5494,6043/4944,12%,12%,6592.8元,0.4/万分之,0.4/万分之,0/万分之,10,2.2元,7.8,,0.1183%
郑醇 (MA108),2537,2715/2359,20%,20%,5074元,2元,2元,2元,10,4元,6,,0.1182%
郑醇 (MA107),2545,2724/2366,20%,20%,5090元,2元,2元,2元,10,4元,6,,0.1179%
玻璃 (FG202),2264,2423/2105,15%,15%,6792元,6元,6元,6元,20,12元,8,,0.1178%
乙二醇 (eg2205),5411,5843/4979,11%,11%,5952.1元,3元,3元,0元,10,3元,7,,0.1176%
乙二醇 (eg2204),5414,5847/4981,11%,11%,5955.4元,3元,3元,0元,10,3元,7,,0.1175%
乙二醇 (eg2203),5418,5851/4985,11%,11%,5959.8元,3元,3元,0元,10,3元,7,,0.1175%
锰硅 (SM107),7250,7686/6814,20%,20%,7250元,1.5元,1.5元,0元,10,1.5元,8.5,,0.1172%
棉花 (CF109),17695,18760/16630,20%,20%,17695元,4.3元,4.3元,0元,25,4.3元,20.7,,0.1170%
郑醇 (MA106),2570,2750/2390,20%,20%,5140元,2元,2元,2元,10,4元,6,,0.1167%
乙二醇 (eg2202),5454,5890/5018,11%,11%,5999.4元,3元,3元,0元,10,3元,7,,0.1167%
焦煤 (jm2108),2039.5,2202.5/1876.5,20%,20%,24474元,0.06/万分之,0.06/万分之,0.06/万分之,30,1.5元,28.5,,0.1165%
菜籽油 (OI111),11061,11725/10397,7%,7%,7742.7元,1元,1元,0元,10,1元,9,,0.1162%
乙二醇 (eg2201),5479,5917/5041,11%,11%,6026.9元,3元,3元,0元,10,3元,7,主力合约,0.1161%
硅铁 (SF201),12126,13098/11154,10%,10%,6063元,3元,3元,0元,10,3元,7,主力合约,0.1155%
乙二醇 (eg2112),5519,5960/5078,11%,11%,6070.9元,3元,3元,0元,10,3元,7,,0.1153%
乙二醇 (eg2110),5545,5988/5102,11%,11%,6099.5元,3元,3元,0元,10,3元,7,,0.1148%
乙二醇 (eg2111),5545,5988/5102,11%,11%,6099.5元,3元,3元,0元,10,3元,7,,0.1148%
玻璃 (FG201),2332,2496/2168,15%,15%,6996元,6元,6元,6元,20,12元,8,主力合约,0.1144%
短纤 (PF110),7010,7502/6518,10%,10%,3505元,3元,3元,3元,10,6元,4,,0.1141%
线材 (wr2205),5663,6229/5096,12%,12%,6795.6元,0.4/万分之,0.4/万分之,0/万分之,10,2.3元,7.7,,0.1133%
不锈钢 (ss2108),18620,19920/17315,20%,20%,18620元,2元,2元,2元,25,4元,21,,0.1128%
锰硅 (SM106),7590,8046/7134,20%,20%,7590元,1.5元,1.5元,0元,10,1.5元,8.5,,0.1120%
豆粕 (m2109),3830,4098/3562,20%,20%,7660元,1.5元,1.5元,0元,10,1.5元,8.5,,0.1110%
