合约品种,现价,涨/跌停板,买开保证金,卖开保证金,每手保证金,开仓手续费,平昨手续费,平今手续费,每跳毛利/元,开平手续费,每跳净利润,是否是主力合约,
铁矿石 (i2202),668.5,742/595,13%,13%,8690.5元,1/万分之,1/万分之,1/万分之,50,13.4元,36.6,,0.4211%
粳稻 (JR111),2771,2910/2632,6%,6%,3325.2元,3元,3元,3元,20,6元,14,,0.4210%
玉米淀粉 (cs2209),2885,3058/2712,7%,7%,2019.5元,1.5元,1.5元,0元,10,1.5元,8.5,,0.4209%
菜籽粕 (RM201),2907,3082/2732,7%,7%,2034.9元,1.5元,1.5元,0元,10,1.5元,8.5,主力合约,0.4177%
粳米 (rr2205),3608,3788/3428,6%,6%,2164.8元,1元,1元,0元,10,1元,9,,0.4157%
铁矿石 (i2201),676,750/602,13%,13%,8788元,1/万分之,1/万分之,1/万分之,50,13.5元,36.5,主力合约,0.4153%
粳米 (rr2209),3625,3806/3444,6%,6%,2175元,1元,1元,0元,10,1元,9,,0.4138%
石油沥青 (bu2111),3266,3526/3004,10%,10%,3266元,1/万分之,1/万分之,1/万分之,20,6.5元,13.5,,0.4133%
石油沥青 (bu2112),3292,3554/3028,10%,10%,3292元,1/万分之,1/万分之,1/万分之,20,6.6元,13.4,主力合约,0.4070%
石油沥青 (bu2201),3304,3568/3038,10%,10%,3304元,1/万分之,1/万分之,1/万分之,20,6.6元,13.4,,0.4056%
石油沥青 (bu2203),3308,3572/3042,10%,10%,3308元,1/万分之,1/万分之,1/万分之,20,6.6元,13.4,,0.4051%
石油沥青 (bu2202),3310,3574/3044,10%,10%,3310元,1/万分之,1/万分之,1/万分之,20,6.6元,13.4,,0.4048%
铁矿石 (i2112),692.5,768.5/616.5,13%,13%,9002.5元,1/万分之,1/万分之,1/万分之,50,13.9元,36.1,,0.4010%
石油沥青 (bu2306),3360,3628/3090,10%,10%,3360元,1/万分之,1/万分之,1/万分之,20,6.7元,13.3,,0.3958%
石油沥青 (bu2212),3362,3630/3092,10%,10%,3362元,1/万分之,1/万分之,1/万分之,20,6.7元,13.3,,0.3956%
石油沥青 (bu2206),3364,3632/3094,10%,10%,3364元,1/万分之,1/万分之,1/万分之,20,6.7元,13.3,,0.3954%
石油沥青 (bu2209),3368,3636/3098,10%,10%,3368元,1/万分之,1/万分之,1/万分之,20,6.7元,13.3,,0.3949%
石油沥青 (bu2303),3376,3646/3104,10%,10%,3376元,1/万分之,1/万分之,1/万分之,20,6.8元,13.2,,0.3910%
5年期国债 (TF2206),100.385,101.5849/99.185,1.20%,1.20%,12046.2元,3.03元,3.03元,0元,50,3元,47,,0.3902%
5年期国债 (TF2203),100.59,101.795/99.385,1.20%,1.20%,12070.8元,3.03元,3.03元,0元,50,3元,47,,0.3894%
5年期国债 (TF2112),100.835,102.045/99.625,1.20%,1.20%,12100.2元,3.03元,3.03元,0元,50,3元,47,主力合约,0.3884%
铁矿石 (i2111),720.5,799.5/641.5,13%,13%,9366.5元,1/万分之,1/万分之,1/万分之,50,14.4元,35.6,,0.3801%
豆粕 (m2207),3226,3451/3001,8%,8%,2580.8元,0.2元,0.2元,0元,10,0.2元,9.8,,0.3797%
豆粕 (m2208),3285,3514/3056,8%,8%,2628元,0.2元,0.2元,0元,10,0.2元,9.8,,0.3729%
燃料油 (fu2206),2630,2840/2419,10%,10%,2630元,0.1/万分之,0.1/万分之,0/万分之,10,0.3元,9.7,,0.3688%
豆粕 (m2203),3340,3573/3107,8%,8%,2672元,0.2元,0.2元,0元,10,0.2元,9.8,,0.3668%
燃料油 (fu2207),2656,2868/2443,10%,10%,2656元,0.1/万分之,0.1/万分之,0/万分之,10,0.3元,9.7,,0.3652%
天然橡胶 (ru2110),12885,13915/11850,10%,10%,12885元,3元,3元,0元,50,3元,47,,0.3648%
燃料油 (fu2208),2664,2877/2450,10%,10%,2664元,0.1/万分之,0.1/万分之,0/万分之,10,0.3元,9.7,,0.3641%
黄玉米 (c2111),2451,2622/2280,11%,11%,2696.1元,0.2元,0.2元,0元,10,0.2元,9.8,,0.3635%
